country	political	valence	median	lower	upper
esp	0	-2	0.11	0.06	0.18
esp	0	-1	0.19	0.12	0.26
esp	0	0	0.39	0.29	0.48
esp	0	1	0.19	0.12	0.28
esp	0	2	0.11	0.06	0.18
esp	1	-2	0.17	0.1	0.24
esp	1	-1	0.35	0.26	0.44
esp	1	0	0.35	0.26	0.44
esp	1	1	0.09	0.04	0.15
esp	1	2	0.04	0.01	0.07
fr	0	-2	0.11	0.05	0.17
fr	0	-1	0.19	0.11	0.28
fr	0	0	0.39	0.31	0.49
fr	0	1	0.2	0.13	0.29
fr	0	2	0.1	0.05	0.16
fr	1	-2	0.24	0.15	0.32
fr	1	-1	0.37	0.28	0.47
fr	1	0	0.28	0.19	0.37
fr	1	1	0.08	0.03	0.13
fr	1	2	0.03	0.01	0.07
irl	0	-2	0.15	0.09	0.23
irl	0	-1	0.2	0.13	0.28
irl	0	0	0.33	0.24	0.43
irl	0	1	0.22	0.14	0.3
irl	0	2	0.1	0.05	0.15
irl	1	-2	0.19	0.11	0.26
irl	1	-1	0.35	0.26	0.45
irl	1	0	0.33	0.24	0.42
irl	1	1	0.09	0.04	0.15
irl	1	2	0.03	0.01	0.08
pl	0	-2	0.26	0.17	0.33
pl	0	-1	0.17	0.1	0.24
pl	0	0	0.35	0.26	0.44
pl	0	1	0.14	0.08	0.21
pl	0	2	0.09	0.02	0.14
pl	1	-2	0.22	0.15	0.3
pl	1	-1	0.34	0.26	0.44
pl	1	0	0.31	0.22	0.4
pl	1	1	0.08	0.03	0.13
pl	1	2	0.04	0.01	0.09
uk	0	-2	0.18	0.11	0.25
uk	0	-1	0.17	0.1	0.24
uk	0	0	0.37	0.27	0.47
uk	0	1	0.18	0.11	0.25
uk	0	2	0.1	0.03	0.18
uk	1	-2	0.23	0.15	0.32
uk	1	-1	0.37	0.27	0.46
uk	1	0	0.29	0.21	0.39
uk	1	1	0.07	0.03	0.13
uk	1	2	0.03	0.01	0.07
us	0	-2	0.13	0.07	0.2
us	0	-1	0.2	0.13	0.28
us	0	0	0.36	0.28	0.46
us	0	1	0.2	0.13	0.28
us	0	2	0.09	0.05	0.16
us	1	-2	0.18	0.11	0.27
us	1	-1	0.35	0.26	0.45
us	1	0	0.32	0.24	0.42
us	1	1	0.1	0.05	0.16
us	1	2	0.04	0.01	0.08
overall	0	-2	0.1486336479101429	0.12136983376794701	0.17874233366868297
overall	0	-1	0.18469784066106124	0.1537880488884629	0.21612002703402877
overall	0	0	0.3637804124231626	0.3258623456933767	0.40348403726230186
overall	0	1	0.18507293601047506	0.15496146678075087	0.2171761898828324
overall	0	2	0.09586778097340862	0.07166521415192613	0.12201546464589967
overall	1	-2	0.2035077973494482	0.17006254647501026	0.23657815799257917
overall	1	-1	0.3558039452634869	0.31712936308595685	0.3943840012585266
overall	1	0	0.31119286030539456	0.2742934205006724	0.3499299234833747
overall	1	1	0.0813377655256739	0.060798504597405774	0.10533966327263587
overall	1	2	0.033030026459729286	0.020508551422902355	0.04897012804735766
