country	political	contrast	median	lower	upper	sig	up
esp	0	-2	0.20165582495564752	0.08123791102514508	0.44444444444444453	True	False
esp	0	-1	0.35975609756097565	0.17635658914728686	0.75093399750934	True	False
esp	0	1	0.375	0.17635658914728686	0.7895622895622897	True	False
esp	0	2	0.1980753809141941	0.08695652173913045	0.4239631336405531	True	False
esp	1	-2	0.38672438672438675	0.16666666666666669	0.7680890538033393	True	False
esp	1	-1	1.0	0.4939271255060729	2.0610079575596814	False	False
esp	1	1	0.19198448610213315	0.07738095238095243	0.4401378122308354	True	False
esp	1	2	0.06798245614035091	0.015799015799015804	0.18166939443535188	True	False
fr	0	-2	0.1836734693877551	0.06432748538011697	0.3803786574870913	True	False
fr	0	-1	0.3737640079103493	0.16007905138339917	0.7820401046207499	True	False
fr	0	1	0.39939939939939934	0.1836734693877551	0.8263888888888891	True	False
fr	0	2	0.1725768321513002	0.07407407407407411	0.35185185185185175	True	False
fr	1	-2	0.8160919540229884	0.3486590038314176	1.7703081232493003	False	False
fr	1	-1	1.5325443786982247	0.7133497133497133	3.2045855379188724	False	True
fr	1	1	0.21289355322338832	0.07407407407407411	0.5061728395061731	True	False
fr	1	2	0.07894736842105263	0.02050811141720233	0.2263056092843327	True	False
irl	0	-2	0.36583432421720175	0.1638359027959237	0.7916666666666667	True	False
irl	0	-1	0.5075757575757576	0.23371647509578544	1.0590318772136953	False	False
irl	0	1	0.5475113122171945	0.26829268292682923	1.1587301587301586	False	False
irl	0	2	0.22013470400567176	0.09805735430157266	0.4482758620689656	True	False
irl	1	-2	0.46428571428571436	0.21328671328671325	0.9510763209393346	True	False
irl	1	-1	1.0946969696969697	0.5370370370370372	2.263157894736842	False	True
irl	1	1	0.20079920079920077	0.06883937479215163	0.4382022471910112	True	False
irl	1	2	0.07216494845360825	0.017957351290684622	0.20289855072463772	True	False
pl	0	-2	0.6388587937883713	0.29473993535116083	1.252016129032258	False	False
pl	0	-1	0.38672438672438675	0.15989159891598922	0.8120300751879697	True	False
pl	0	1	0.3025958930647035	0.12280701754385966	0.6428571428571428	True	False
pl	0	2	0.17562724014336922	0.042709867452135494	0.38672438672438675	True	False
pl	1	-2	0.6470588235294117	0.29473993535116083	1.263157894736842	False	False
pl	1	-1	1.1587301587301586	0.58777052559258	2.488095238095238	False	True
pl	1	1	0.1935483870967742	0.0625	0.44444444444444453	True	False
pl	1	2	0.10216718266253871	0.024730059212817835	0.26086956521739135	True	False
uk	0	-2	0.39024390243902435	0.17378917378917383	0.8075998075998074	True	False
uk	0	-1	0.34256055363321797	0.15106117353308363	0.6835443037974681	True	False
uk	0	1	0.36412315930388234	0.15989159891598922	0.7820401046207499	True	False
uk	0	2	0.19623059866962306	0.0504612045577862	0.5121951219512194	True	False
uk	1	-2	0.7368421052631579	0.32432432432432434	1.5555555555555558	False	False
uk	1	-1	1.4117647058823533	0.6664195700518903	2.923076923076923	False	True
uk	1	1	0.19198448610213315	0.060036385688295925	0.44444444444444453	True	False
uk	1	2	0.07216494845360825	0.0196078431372549	0.1914893617021277	True	False
us	0	-2	0.2546213476446035	0.11347517730496456	0.5742869306087696	True	False
us	0	-1	0.45261717413616137	0.20716112531969305	0.9074074074074077	True	False
us	0	1	0.4444444444444445	0.19899874843554444	0.8655913978494626	True	False
us	0	2	0.17654808959156784	0.07894736842105263	0.41377625793844647	True	False
us	1	-2	0.48859166011014943	0.20454545454545453	0.9473684210526316	True	False
us	1	-1	1.1466275659824048	0.5547945205479452	2.3264554163596167	False	True
us	1	1	0.22248803827751193	0.08854166666666669	0.501454092230993	True	False
us	1	2	0.0795287187039764	0.02050811141720233	0.20289855072463772	True	False
overall	0	-2	0.30499348661460074	0.2237043013572238	0.41699444030894445	True	False
overall	0	-1	0.39648045865379133	0.29028941969842575	0.5289419879865845	True	False
overall	0	1	0.39784233941444097	0.28838794912336496	0.5338462174584803	True	False
overall	0	2	0.18546506203895963	0.1227355898687125	0.2694019081752605	True	False
overall	1	-2	0.5669281774883301	0.4018105737246372	0.7658943660176301	True	False
overall	1	-1	1.2217344860627901	0.8910780533732903	1.6399292525989502	False	True
overall	1	1	0.19616193084555814	0.13491434945189054	0.27834564665345796	True	False
overall	1	2	0.07504392457503795	0.045598041203578174	0.11839115163668693	True	False
