country	political	event	median	lower	upper
esp	0	-1	0.26	0.18	0.33
esp	0	0	0.59	0.5	0.67
esp	0	1	0.15	0.11	0.23
esp	1	-1	0.36	0.29	0.42
esp	1	0	0.54	0.47	0.63
esp	1	1	0.09	0.05	0.15
fr	0	-1	0.25	0.16	0.35
fr	0	0	0.58	0.54	0.67
fr	0	1	0.15	0.1	0.21
fr	1	-1	0.4	0.3	0.48
fr	1	0	0.51	0.4	0.6
fr	1	1	0.09	0.05	0.15
irl	0	-1	0.33	0.26	0.43
irl	0	0	0.54	0.46	0.63
irl	0	1	0.12	0.09	0.17
irl	1	-1	0.41	0.33	0.48
irl	1	0	0.5	0.41	0.59
irl	1	1	0.08	0.05	0.13
pl	0	-1	0.36	0.27	0.43
pl	0	0	0.53	0.43	0.6
pl	0	1	0.11	0.06	0.15
pl	1	-1	0.36	0.28	0.42
pl	1	0	0.53	0.47	0.66
pl	1	1	0.09	0.05	0.14
uk	0	-1	0.29	0.22	0.35
uk	0	0	0.58	0.51	0.68
uk	0	1	0.13	0.06	0.2
uk	1	-1	0.42	0.35	0.53
uk	1	0	0.49	0.41	0.57
uk	1	1	0.08	0.03	0.12
us	0	-1	0.3	0.22	0.38
us	0	0	0.57	0.48	0.65
us	0	1	0.13	0.09	0.22
us	1	-1	0.37	0.27	0.45
us	1	0	0.52	0.47	0.63
us	1	1	0.1	0.07	0.17
overall	0	-1	0.295	0.27666666666666667	0.33166666666666667
overall	0	0	0.5650000000000001	0.5316666666666666	0.6033333333333334
overall	0	1	0.13333333333333333	0.11166666666666668	0.16
overall	1	-1	0.385	0.3433333333333333	0.43
overall	1	0	0.52	0.48500000000000004	0.5616666666666666
overall	1	1	0.09166666666666667	0.07333333333333333	0.11166666666666668
