country	political	contrast	median	lower	upper	sig	up
esp	0	-1	0.2266902342023862	0.1309276402796145	0.5098039215686275	True	False
esp	0	1	0.12263210368893321	0.06525573192239861	0.27083333333333337	True	False
esp	1	-1	0.4259158009841444	0.23988374692600048	0.7536945812807881	True	False
esp	1	1	0.07711238720262509	0.030910609857978284	0.1695501730103806	True	False
fr	0	-1	0.2342342342342343	0.11186696900982618	0.4586894586894586	True	False
fr	0	1	0.11788291900561348	0.06525573192239861	0.19249236141422957	True	False
fr	1	-1	0.6379196840026333	0.2995169082125604	1.2797202797202798	False	False
fr	1	1	0.09050576752440108	0.04135338345864662	0.16666666666666669	True	False
irl	0	-1	0.41956882255389716	0.19763513513513511	0.8855835240274599	True	False
irl	0	1	0.10820451843043999	0.0625	0.20481927710843378	True	False
irl	1	-1	0.6963562753036436	0.37418513689700134	1.328330206378987	False	False
irl	1	1	0.09129332206255283	0.04858299595141702	0.18831168831168832	True	False
pl	0	-1	0.4791666666666666	0.2342342342342343	0.960127591706539	True	False
pl	0	1	0.10528506034124009	0.04233870967741936	0.2157923201730665	True	False
pl	1	-1	0.49882075471698106	0.19154228855721392	0.8165810711665444	True	False
pl	1	1	0.08950019372336306	0.04306220095693779	0.16289592760180993	True	False
uk	0	-1	0.3081294786261429	0.13533834586466167	0.5173453996983408	True	False
uk	0	1	0.10815939278937381	0.027355623100303955	0.2709904474610357	True	False
uk	1	-1	0.7549019607843137	0.42434210526315796	1.5589430894308947	False	False
uk	1	1	0.0909090909090909	0.031432748538011715	0.13937365527133636	True	False
us	0	-1	0.32533733133433285	0.1608391608391608	0.6142719382835101	True	False
us	0	1	0.1128254580520733	0.06323185011709603	0.2987012987012987	True	False
us	1	-1	0.5421245421245421	0.21311475409836064	0.9226305609284334	True	False
us	1	1	0.09853249475890985	0.05230544924366688	0.22188755020080325	True	False
overall	0	-1	0.31699056364434386	0.2482477480216157	0.4086238905967276	True	False
overall	0	1	0.115030189592301	0.07840882406470545	0.16091600967339567	True	False
overall	1	-1	0.5684654521304673	0.40281620835453374	0.7713280250034148	True	False
overall	1	1	0.08874436972873996	0.061651612435552824	0.12351356722539249	True	False
