country	political	sentiment	median	lower	upper
esp	0	-1	0.17	0.09	0.23
esp	0	0	0.54	0.47	0.63
esp	0	1	0.28	0.22	0.38
esp	1	-1	0.36	0.25	0.5
esp	1	0	0.52	0.41	0.63
esp	1	1	0.11	0.07	0.17
fr	0	-1	0.16	0.11	0.24
fr	0	0	0.55	0.45	0.66
fr	0	1	0.27	0.2	0.34
fr	1	-1	0.5	0.42	0.6
fr	1	0	0.42	0.34	0.55
fr	1	1	0.07	0.03	0.14
irl	0	-1	0.16	0.12	0.24
irl	0	0	0.56	0.47	0.64
irl	0	1	0.28	0.23	0.37
irl	1	-1	0.35	0.29	0.41
irl	1	0	0.51	0.43	0.61
irl	1	1	0.13	0.09	0.19
pl	0	-1	0.28	0.22	0.4
pl	0	0	0.53	0.41	0.6
pl	0	1	0.18	0.12	0.24
pl	1	-1	0.44	0.37	0.53
pl	1	0	0.46	0.38	0.56
pl	1	1	0.09	0.03	0.14
uk	0	-1	0.21	0.15	0.28
uk	0	0	0.55	0.48	0.63
uk	0	1	0.23	0.14	0.3
uk	1	-1	0.42	0.32	0.49
uk	1	0	0.47	0.38	0.61
uk	1	1	0.1	0.05	0.17
us	0	-1	0.19	0.13	0.26
us	0	0	0.54	0.47	0.61
us	0	1	0.27	0.19	0.36
us	1	-1	0.41	0.33	0.5
us	1	0	0.48	0.4	0.57
us	1	1	0.1	0.05	0.16
overall	0	-1	0.19499999999999998	0.17833333333333334	0.2283333333333333
overall	0	0	0.5433333333333333	0.51	0.5783333333333334
overall	0	1	0.25166666666666665	0.22333333333333336	0.29333333333333333
overall	1	-1	0.4183333333333333	0.375	0.455
overall	1	0	0.4816666666666667	0.4383333333333333	0.5216666666666666
overall	1	1	0.10166666666666667	0.07333333333333335	0.12166666666666666
