country	political	contrast	median	lower	upper	sig	up
esp	0	-1	0.1835724888668976	0.06158357771260999	0.32359307359307365	True	False
esp	0	1	0.3150684931506849	0.1728701406120761	0.720962678758284	True	False
esp	1	-1	0.5192307692307692	0.2043010752688172	1.4390243902439026	False	False
esp	1	1	0.10528506034124009	0.05450500556173529	0.21502663302495095	True	False
fr	0	-1	0.15584415584415584	0.07670454545454546	0.3469387755102041	True	False
fr	0	1	0.3279917291289739	0.1532258064516129	0.580915538362347	True	False
fr	1	-1	1.2747252747252749	0.6428571428571428	2.911764705882352	False	True
fr	1	1	0.11526794742163805	0.019773533885414907	0.25442684063373716	True	False
irl	0	-1	0.14965986394557823	0.07670454545454546	0.3561030235162374	True	False
irl	0	1	0.3181818181818182	0.17763157894736842	0.5873015873015873	True	False
irl	1	-1	0.5173453996983408	0.26114061417686446	0.9211667323610563	True	False
irl	1	1	0.14772727272727273	0.06832298136645963	0.27536231884057966	True	False
pl	0	-1	0.36507936507936506	0.18472430808839302	0.9593495934959352	True	False
pl	0	1	0.18906394810009272	0.0987460815047022	0.41577409931840303	True	False
pl	1	-1	0.9228395061728396	0.4775036284470246	1.6944444444444444	False	False
pl	1	1	0.11152677110123922	0.03487606931344594	0.21972534332084895	True	False
uk	0	-1	0.2222222222222222	0.1128254580520733	0.40068493150684936	True	False
uk	0	1	0.2342342342342343	0.10714285714285714	0.4460641399416909	True	False
uk	1	-1	0.8165810711665444	0.31220830262834687	1.625	False	False
uk	1	1	0.12092624356775297	0.035087719298245626	0.2771841609050911	True	False
us	0	-1	0.19981710105166892	0.09961685823754791	0.3736383442265796	True	False
us	0	1	0.3081294786261429	0.15637860082304528	0.609375	True	False
us	1	-1	0.7505345687811832	0.38699360341151384	1.4999999999999998	False	False
us	1	1	0.1156462585034014	0.04667328699106256	0.2248062015503876	True	False
overall	0	-1	0.2007574446425046	0.15247851362221576	0.2535986995024499	True	False
overall	0	1	0.28015427663076387	0.21098190099928232	0.376119451815461	True	False
overall	1	-1	0.7890493735753554	0.5733330700807389	1.005326221370493	False	False
overall	1	1	0.12103779695077448	0.07733769549101464	0.16027355664403417	True	False
